"","W","PTS","O_PTS","FG%","3P%","TRB","AST","STL","TOV","O_FG%","O_3P%","O_TRB","O_AST","O_STL","O_TOV"
"945",0,100,106,0.411,0.348,50,19,10,11,0.422,0.276,43,27,6,15
"946",1,118,115,0.427,0.313,59,15,10,12,0.416,0.364,53,25,8,14
"947",1,107,100,0.452,0.364,49,20,7,17,0.36,0.409,41,20,11,11
"948",0,104,122,0.374,0.242,55,23,9,12,0.476,0.432,55,22,6,17
"949",0,85,98,0.405,0.231,48,17,11,25,0.4,0.318,39,16,15,17
"950",0,114,120,0.404,0.44,46,11,5,11,0.438,0.448,49,21,5,12
"951",1,109,107,0.449,0.476,41,15,11,15,0.506,0.36,40,20,9,20
"952",0,94,109,0.4,0.273,40,17,14,19,0.449,0.304,49,16,11,18
"953",0,119,120,0.458,0.341,57,21,6,16,0.392,0.4,49,24,12,11
"954",1,113,111,0.409,0.3,61,13,9,17,0.392,0.35,43,23,10,13
"955",0,92,107,0.4,0.37,35,15,9,13,0.527,0.313,50,19,6,20
"956",0,111,125,0.473,0.36,44,20,7,8,0.535,0.474,37,30,4,11
"957",1,123,116,0.532,0.462,43,25,7,20,0.506,0.419,28,23,7,19
"958",1,99,91,0.446,0.429,47,20,10,20,0.4,0.259,43,10,12,18
"959",1,99,90,0.468,0.391,49,21,7,18,0.396,0.261,43,18,8,12
"960",0,116,120,0.529,0.333,36,23,12,14,0.537,0.441,38,15,8,20
"961",0,108,113,0.487,0.556,47,15,2,19,0.483,0.441,32,29,11,9
"962",1,108,105,0.459,0.381,45,18,10,15,0.507,0.45,33,15,8,16
"963",0,101,106,0.494,0.227,39,13,4,9,0.461,0.348,46,22,4,8
"964",0,111,112,0.442,0.368,44,20,7,15,0.524,0.353,42,24,8,15
"965",0,112,123,0.451,0.286,43,20,9,10,0.488,0.32,48,17,7,14
"966",0,96,115,0.419,0.263,42,11,8,17,0.488,0.571,44,25,13,17
